label,implementation,number
Andrey,Core(bitcoin.team),2
Benedict Chan,Core(bitcoin.team),2
Carlo Alberto Ferraris,Core(bitcoin.team),2
Celil,Core(bitcoin.team),2
Chris Howie,Core(bitcoin.team),2
Christian Decker,Core(bitcoin.team),2
Clark Gaebel,Core(bitcoin.team),2
Daniel Larimer,Core(bitcoin.team),2
David FRANCOIS,Core(bitcoin.team),2
David Perry,Core(bitcoin.team),2
Doug,Core(bitcoin.team),2
Douglas Roark,Core(bitcoin.team),2
Dwayne C. Litzenberger,Core(bitcoin.team),2
Dylan Noblesmith,Core(bitcoin.team),2
Eric R. Schulz,Core(bitcoin.team),2
Federico Bond,Core(bitcoin.team),2
Flavien Charlon,Core(bitcoin.team),2
Hampus Sjöberg,Core(bitcoin.team),2
Ian Kelling,Core(bitcoin.team),2
James Evans,Core(bitcoin.team),2
Jiaxing Wang,Core(bitcoin.team),2
Joao Fonseca,Core(bitcoin.team),2
JoelKatz,Core(bitcoin.team),2
Jonas Nick,Core(bitcoin.team),2
Kangmo,Core(bitcoin.team),2
Lauda,Core(bitcoin.team),2
Luca Venturini,Core(bitcoin.team),2
Mario Dian,Core(bitcoin.team),2
Marius Hanne,Core(bitcoin.team),2
Michagogo,Core(bitcoin.team),2
Mitchell Cash,Core(bitcoin.team),2
Mustafa,Core(bitcoin.team),2
Nicolas Benoit,Core(bitcoin.team),2
Pavlos Antoniou,Core(bitcoin.team),2
Richard Schwab,Core(bitcoin.team),2
Rusty Russell,Core(bitcoin.team),2
Scott Ellis,Core(bitcoin.team),2
Spencer Lievens,Core(bitcoin.team),2
Stéphane Gimenez,Core(bitcoin.team),2
Thomas Kerin,Core(bitcoin.team),2
Thomas Zander,Core(bitcoin.team),2
Timothy Redaelli,Core(bitcoin.team),2
Whit J,Core(bitcoin.team),2
Witchspace,Core(bitcoin.team),2
Yoichi Hirai,Core(bitcoin.team),2
Yuri Zhykin,Core(bitcoin.team),2
Zak Wilcox,Core(bitcoin.team),2
aideca,Core(bitcoin.team),2
coderrr,Core(bitcoin.team),2
constantined,Core(bitcoin.team),2
crowning-,Core(bitcoin.team),2
daniel,Core(bitcoin.team),2
ditto-b,Core(bitcoin.team),2
face,Core(bitcoin.team),2
imharrywu,Core(bitcoin.team),2
kobake,Core(bitcoin.team),2
lpescher,Core(bitcoin.team),2
mb300sd,Core(bitcoin.team),2
patrick s,Core(bitcoin.team),2
phantomcircuit,Core(bitcoin.team),2
shshshsh,Core(bitcoin.team),2
super3,Core(bitcoin.team),2
Abraham Jewowich,Core(bitcoin.team),1
Addy Yeow,Core(bitcoin.team),1
Ahmad Kazi,Core(bitcoin.team),1
Akio Nakamura,Core(bitcoin.team),1
AlSzacrel,Core(bitcoin.team),1
Alex van der Peet,Core(bitcoin.team),1
Alexander Regueiro,Core(bitcoin.team),1
Alexey Vesnin,Core(bitcoin.team),1
Alistair Buxton,Core(bitcoin.team),1
Allan Doensen,Core(bitcoin.team),1
Anditto Heristyo,Core(bitcoin.team),1
Andrew,Core(bitcoin.team),1
Andrey Alekseenko,Core(bitcoin.team),1
Andriy Voskoboinyk,Core(bitcoin.team),1
Andy Alness,Core(bitcoin.team),1
Arne Brutschy,Core(bitcoin.team),1
Awemany,Core(bitcoin.team),1
Bardi Harborow,Core(bitcoin.team),1
BitcoinPRReadingGroup,Core(bitcoin.team),1
Brian Deery,Core(bitcoin.team),1
